
> feature-extract@1.0.0 start
> tsc && node --es-module-specifier-resolution=node out/src/index.js

(node:99854) ExperimentalWarning: The Node.js specifier resolution flag is experimental. It could change or be removed at any time.
(Use `node --trace-warnings ...` to show where the warning was created)
This usage is for personal experiment. The right usage is as follows
npm run start $package_path}. package_path is absolute path of a npm package directory which should have a file named package.json.
finish analyze -.csv. It is benign

finish analyze 0---top.csv. It is benign

finish analyze 0--0double.csv. It is benign

finish analyze 0-1-project.csv. It is benign

finish analyze 0-100.csv. It is benign

finish analyze 0-24.csv. It is benign

finish analyze 0-3day1.csv. It is benign

finish analyze 0-60.csv. It is benign

finish analyze 0-_-0.csv. It is benign

finish analyze 0-dd-trace-first.csv. It is benign

finish analyze 0-dd-trace-init-first-datadog-enabled.csv. It is benign

finish analyze 0-dd-trace-init-first-production.csv. It is benign

finish analyze 0-dd-trace-init.csv. It is benign

finish analyze 0-dd-trace.csv. It is benign

finish analyze 0-dns.csv. It is benign

finish analyze 0-hun_ajax.csv. It is benign

finish analyze 0-logger.csv. It is benign

finish analyze 0-multby.csv. It is benign

finish analyze 0-npm.csv. It is benign

finish analyze 0-plume-css.csv. It is benign

finish analyze 0-shadowenv.csv. It is benign

finish analyze 0-this-is-a-test.csv. It is benign

finish analyze 0-zhuangbei-lan-de-zuiqiang-jianshi-danshi-zuzhou-zhuangbei-keai-dehua-neng-suiyi-zhuang-jiujiujiujiu-ge-wo-de-zuzhou-zhuangbei-bu-keneng-zheme-keai-banmuchi-wan-erlingeryilingererliu.csv. It is benign

finish analyze 0.0.0.0.csv. It is benign

finish analyze 0.0.1.csv. It is benign

finish analyze 0.0.168.csv. It is benign

finish analyze 0.0.250.csv. It is benign

finish analyze 0.0.9-alpha.5.csv. It is benign

finish analyze 0.1.unity-settings-daemon.csv. It is benign

finish analyze 0.1f.csv. It is benign

finish analyze 0.2.18.csv. It is benign

finish analyze 0.3.20-beta.11.csv. It is benign

finish analyze 0.app1.csv. It is benign

finish analyze 0.apppack.csv. It is benign

finish analyze 0.css.csv. It is benign

finish analyze 0.draw.io.csv. It is benign

finish analyze 0.edsql.build.csv. It is benign

finish analyze 0.edsql.csv. It is benign

finish analyze 0.edsql.electron.csv. It is benign

finish analyze 0.edsql.electronapp.csv. It is benign

finish analyze 0.edsql.mysql.csv. It is benign

finish analyze 0.edsql.pack1.csv. It is benign

finish analyze 0.edsql.react.csv. It is benign

finish analyze 0.electron.main.csv. It is benign

finish analyze 0.electron.preload.csv. It is benign

finish analyze 0.extends.draw.io.csv. It is benign

finish analyze 0.extends.electron.csv. It is benign

finish analyze 0.extends.fc.csv. It is benign

finish analyze 0.extends.packapp.csv. It is benign

finish analyze 0.extends.react.csv. It is benign

finish analyze 0.extends.sql.csv. It is benign

finish analyze 0.extends.vscode.csv. It is benign

finish analyze 0.extends.wechat.csv. It is benign

finish analyze 0.extends.whistle.csv. It is benign

finish analyze 0.js.csv. It is benign

finish analyze 0.pack.csv. It is benign

finish analyze 0.sql.csv. It is benign

finish analyze 0.tsx.csv. It is benign

finish analyze 0.workspace.csv. It is malicious

finish analyze 00-components.csv. It is benign

finish analyze 00-test.csv. It is benign

finish analyze 00.demo.csv. It is benign

finish analyze 000-webpack.csv. It is benign

finish analyze 0000lqb.csv. It is benign

finish analyze 0000lqb1.csv. It is benign

finish analyze 0002npm.csv. It is benign

finish analyze 0003-lion-lib.csv. It is benign

finish analyze 000demo.csv. It is benign

finish analyze 001-custom-test.csv. It is benign

finish analyze 001-mypackage.csv. It is benign

finish analyze 001-nodelist.csv. It is benign

finish analyze 001-npm.csv. It is benign

finish analyze 001128jsckgcl.csv. It is benign

finish analyze 001_skt.csv. It is benign

finish analyze 001_test.csv. It is benign

finish analyze 001senge.csv. It is benign

finish analyze 002-bao.csv. It is benign

finish analyze 002-console.csv. It is benign

finish analyze 002-globals.csv. It is benign

finish analyze 002-node-cli.csv. It is benign

finish analyze 002-npm.csv. It is benign

finish analyze 002-webpack-numbers.csv. It is benign

finish analyze 002sjh.csv. It is benign

finish analyze 002twoweek.csv. It is benign

finish analyze 003-3.csv. It is benign

finish analyze 003-bingpic.csv. It is benign

finish analyze 003-npm.csv. It is benign

